Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
one.flights,available,132,44%,3,"Business,General,Media,Technology",,,
brief.flights,available,124,19%,5,"Business,Education,General,Law",,,
complete.flights,available,120,21%,8,"Manufacturing,Retail,Technology",,,
second.flights,available,120,23%,6,"General,Mathematics",,,
wizard.flights,available,118,42%,6,"Entertainment,Media,Technology",,,
equal.flights,available,116,19%,5,"Education,General,Law",,,
flat.flights,available,116,24%,4,"Construction,Real Estate",,,
tenth.flights,available,116,7%,5,Mathematics,,,
tonic.flights,available,114,22%,5,"Health and Fitness,Medicine,Science",,,
above.flights,expiring,112,22%,5,Business,14/09/2017 01:48,14/09/2025 01:48,Porkbun LLC
zero.flights,available,112,49%,4,Mathematics,,,
hotshot.flights,available,112,14%,7,"Business,Entertainment,Sports",,,
acute.flights,available,112,9%,5,"Mathematics,Medicine,Science",,,
abstract.flights,available,108,29%,8,"Arts,Humanities,Science",,,
abiding.flights,available,106,5%,7,"General,Religion",,,
teen.flights,available,104,14%,4,"Education,Entertainment,Healthcare",,,
active.flights,available,104,27%,6,"Health and Fitness,Sports,Travel",,,
absent.flights,available,102,8%,6,"Business,Education,Technology",,,
eight.flights,available,102,23%,5,"General,Mathematics",,,
captive.flights,available,102,14%,7,"Entertainment,Hospitality,Technology",,,
third.flights,available,100,16%,5,Mathematics,,,
sixth.flights,available,100,8%,5,Mathematics,,,
whiz.flights,available,100,12%,4,"Business,Education,Technology",,,
abrupt.flights,available,100,3%,6,"Medicine,Science",,,
crack.flights,available,100,20%,5,Sports,,,
remove.flights,available,100,13%,6,"Construction,Manufacturing,Technology",,,
ninth.flights,available,100,9%,5,Mathematics,,,
adjunct.flights,available,100,5%,7,Education,,,
eighth.flights,available,100,6%,6,Mathematics,,,
whizz.flights,available,98,11%,5,"Business,Education,Technology",,,
academic.flights,available,96,20%,8,"Education,Humanities,Science",,,
doable.flights,available,96,9%,6,"Business,Education,Technology",,,
alamode.flights,available,96,12%,9,Fashion,,,
actual.flights,available,96,22%,6,"Real Estate,Retail,Technology",,,
forgiving.flights,available,96,3%,9,"Healthcare,Religion",,,
about.flights,available,94,28%,5,"Business,General,Media,Technology",,,
abject.flights,available,94,7%,6,Humanities,,,
virtuoso.flights,available,94,16%,8,"Arts,Entertainment",,,
adequate.flights,available,94,9%,8,"Education,Healthcare,Technology",,,
around.flights,available,94,22%,6,"Business,General,Media,Technology",,,
abroad.flights,available,92,12%,6,"Hospitality,Travel",,,
adjective.flights,available,92,5%,9,Education,,,
derelict.flights,available,92,7%,8,"Construction,Real Estate",,,
neutral.flights,available,92,20%,7,"Business,Media,Politics",,,
twentieth.flights,available,92,3%,9,Mathematics,,,
exemplary.flights,available,92,5%,9,"Business,Education,Healthcare",,,
adept.flights,available,92,24%,5,"Education,Health and Fitness,Sports",,,
nought.flights,available,92,4%,6,Mathematics,,,
adoring.flights,available,90,2%,7,"Entertainment,Fashion,Retail",,,
addictive.flights,available,90,9%,9,Healthcare,,,
leash.flights,available,90,7%,5,"General,Health and Fitness,Retail",,,
endearing.flights,available,90,1%,9,"Entertainment,Fashion,Retail",,,
additional.flights,available,90,8%,10,"Fashion,Retail,Technology",,,
abortive.flights,available,90,1%,8,"Medicine,Science",,,
riveting.flights,available,90,6%,8,"Entertainment,Media,Technology",,,
gripping.flights,available,90,3%,8,"Entertainment,Media,Technology",,,
wide.flights,available,88,18%,4,"Business,Media,Technology",,,
ace.flights,available,88,34%,3,Sports,,,
proficient.flights,available,88,8%,10,"Education,Health and Fitness,Sports",,,
adlib.flights,available,88,7%,6,Entertainment,,,
ten.flights,available,88,28%,3,"General,Mathematics",,,
twelve.flights,available,88,18%,6,"General,Mathematics",,,
activist.flights,available,88,12%,8,"Humanities,Politics",,,
actionable.flights,available,88,13%,10,"Business,Law",,,
hundred.flights,available,88,14%,7,Mathematics,,,
three.flights,available,88,24%,5,Mathematics,,,
sixteen.flights,available,88,11%,7,Mathematics,,,
fifteen.flights,available,88,13%,7,Mathematics,,,
star.flights,available,86,40%,4,"Entertainment,Media,Sports",,,
engrossing.flights,available,86,0%,10,"Entertainment,Media,Technology",,,
cipher.flights,available,86,29%,6,Mathematics,,,
adolescent.flights,available,86,3%,10,"Education,Entertainment,Healthcare",,,
recondite.flights,available,86,4%,9,"Arts,Humanities,Science",,,
aboriginal.flights,available,86,10%,10,Humanities,,,
xix.flights,available,86,11%,3,Mathematics,,,
intent.flights,available,86,25%,6,"Business,Education,Technology",,,
extempore.flights,available,86,3%,9,Entertainment,,,
attendant.flights,available,86,5%,9,"Healthcare,Hospitality,Transportation",,,
twentyone.flights,available,84,13%,10,Mathematics,,,
thousand.flights,available,84,8%,8,Mathematics,,,
grand.flights,available,84,25%,5,"Finance,General",,,
fourteen.flights,available,84,8%,8,Mathematics,,,
accessory.flights,available,84,8%,9,"Fashion,Retail,Technology",,,
sharp.flights,available,84,34%,5,"Arts,Fashion",,,
deviate.flights,available,84,12%,7,"Medicine,Science",,,
twentytwo.flights,available,84,11%,10,Mathematics,,,
thirteen.flights,available,84,10%,8,Mathematics,,,
acting.flights,available,84,12%,6,Entertainment,,,
seventeen.flights,available,84,7%,9,Mathematics,,,
adjustable.flights,available,84,3%,10,"Manufacturing,Retail,Technology",,,
nineteen.flights,available,84,8%,8,Mathematics,,,
abkhaz.flights,available,82,1%,6,Geography,,,
abroach.flights,available,82,1%,7,Food and Beverage,,,
abdominal.flights,available,82,1%,9,"Health and Fitness,Medicine",,,
impromptu.flights,available,82,16%,9,Entertainment,,,
absorbent.flights,available,82,3%,9,"Healthcare,Manufacturing,Retail",,,
altered.flights,available,82,9%,7,"Medicine,Science",,,
enduring.flights,available,82,9%,8,"Health and Fitness,Religion",,,
fivesome.flights,available,82,1%,8,Sports,,,
dozen.flights,available,82,10%,5,Mathematics,,,
abenaki.flights,available,82,2%,7,Geography,,,
good.flights,expiring,82,47%,4,"Food and Beverage,General,Health and Fitness,Retail",25/08/2019 09:46,25/08/2025 09:46,Porkbun LLC
decade.flights,available,82,10%,6,Mathematics,,,
cleansing.flights,available,82,3%,9,Health and Fitness,,,
superstar.flights,available,80,18%,9,Entertainment,,,
forty.flights,available,80,9%,5,Mathematics,,,
some.flights,available,80,32%,4,"Business,Media,Retail",,,
absurd.flights,available,80,16%,6,"Arts,Entertainment,Media",,,
wiz.flights,available,80,30%,3,"Business,Education,Technology",,,
twenty.flights,available,80,12%,6,Mathematics,,,
seventh.flights,available,80,10%,7,Mathematics,,,
absolute.flights,available,80,25%,8,"Engineering,Mathematics,Science",,,
nine.flights,available,80,24%,4,"General,Mathematics",,,
adoptable.flights,available,80,3%,9,"Education,Healthcare",,,
trio.flights,available,80,21%,4,Entertainment,,,
two.flights,available,80,24%,3,Mathematics,,,
yard.flights,available,80,26%,4,"Construction,General",,,
sequent.flights,available,80,7%,7,"Healthcare,Insurance,Transportation",,,
capable.flights,available,80,12%,7,"Business,Education,Technology",,,
absorbable.flights,available,80,0%,10,"Healthcare,Pharmaceuticals,Science",,,
dorsal.flights,available,80,6%,6,"Medicine,Science",,,
worshipful.flights,available,80,1%,10,"Education,Healthcare,Religion",,,
abundant.flights,available,80,19%,8,"Agriculture,Manufacturing,Retail",,,
able.flights,available,80,29%,4,"Business,Education,General,Technology",,,
acceptable.flights,available,78,5%,10,"Business,Hospitality,Retail",,,
adrenal.flights,available,78,4%,7,"Education,Healthcare,Science",,,
accepted.flights,available,78,6%,8,"Business,Education,Technology",,,
accidental.flights,available,78,11%,10,"Healthcare,Insurance,Transportation",,,
abkhasian.flights,available,78,1%,9,Geography,,,
athletic.flights,available,78,15%,8,"Health and Fitness,Sports",,,
low.flights,available,78,20%,3,"Business,Finance",,,
honestly.flights,available,78,9%,8,"Business,Law",,,
dormant.flights,available,78,4%,7,"Medicine,Science",,,
adjacent.flights,available,78,9%,8,"Construction,Real Estate,Retail",,,
absorptive.flights,available,78,1%,10,"Healthcare,Manufacturing,Retail",,,
recognised.flights,available,78,3%,10,"Business,Education,Technology",,,
sixtynine.flights,available,78,8%,10,Mathematics,,,
adorable.flights,available,78,8%,8,"Entertainment,Fashion,Retail",,,
abkhazian.flights,available,78,1%,9,Geography,,,
recognized.flights,available,78,3%,10,"Business,Education,Technology",,,
acceptant.flights,available,78,1%,9,"Education,Healthcare",,,
abounding.flights,available,78,2%,9,Agriculture,,,
accessible.flights,available,78,21%,10,"Healthcare,Retail,Technology",,,
twentysix.flights,available,78,8%,10,Mathematics,,,
accurate.flights,available,78,16%,8,"Engineering,Mathematics,Science",,,
fifteenth.flights,available,76,2%,9,Mathematics,,,
acoustic.flights,available,76,14%,8,Science,,,
ancillary.flights,available,76,6%,9,"Healthcare,Manufacturing,Technology",,,
nineteenth.flights,available,76,3%,10,Mathematics,,,
adipose.flights,available,76,2%,7,"Healthcare,Science",,,
fourteenth.flights,available,76,1%,10,Mathematics,,,
adaptable.flights,available,76,9%,9,"Business,Education,Technology",,,
addable.flights,available,76,2%,7,"Engineering,Mathematics,Science",,,
improvise.flights,available,76,4%,9,Entertainment,,,
adherent.flights,available,76,4%,8,"Politics,Religion",,,
resultant.flights,available,76,2%,9,"Healthcare,Insurance,Transportation",,,
auxiliary.flights,available,76,7%,9,"Healthcare,Manufacturing,Technology",,,
firstrate.flights,available,76,6%,10,Business,,,
ague.flights,available,76,2%,4,"Geography,Medicine,Science",,,
thousandth.flights,available,76,1%,10,Mathematics,,,
adaptive.flights,available,76,28%,8,"Business,Education,Technology",,,
threed.flights,available,76,7%,7,Technology,,,
energizing.flights,available,76,3%,10,"Food and Beverage,Health and Fitness,Travel",,,
adhesive.flights,available,76,7%,8,"Construction,Manufacturing,Technology",,,
eighteen.flights,available,76,7%,8,Mathematics,,,
hundredth.flights,available,76,1%,9,Mathematics,,,
abrasive.flights,available,76,6%,8,"Construction,Manufacturing",,,
incidental.flights,available,76,4%,10,"Healthcare,Insurance,Transportation",,,
obscene.flights,available,76,5%,7,"Entertainment,Media",,,
thirteenth.flights,available,76,4%,10,Mathematics,,,
diamond.flights,available,76,32%,7,Fashion,,,
ventral.flights,available,76,3%,7,Science,,,
admirable.flights,available,74,5%,9,"Business,Education,Healthcare",,,
acuate.flights,available,74,2%,6,"Engineering,Medicine,Science",,,
aberrant.flights,available,74,6%,8,"Medicine,Science",,,
realizable.flights,available,74,1%,10,"Business,Education,Technology",,,
single.flights,available,74,19%,6,Sports,,,
achievable.flights,available,74,4%,10,"Business,Education,Technology",,,
manageable.flights,available,74,4%,10,"Business,Education,Technology",,,
adrenergic.flights,available,74,1%,10,"Education,Healthcare,Science",,,
activated.flights,available,74,9%,9,"Healthcare,Manufacturing,Technology",,,
accepting.flights,available,74,3%,9,"Education,Healthcare",,,
sensation.flights,available,74,7%,9,"Entertainment,Media,Sports",,,
adenoid.flights,available,74,1%,7,"Health and Fitness,Medicine,Science",,,
adapted.flights,available,74,6%,7,"Healthcare,Manufacturing,Technology",,,
abnormal.flights,available,74,16%,8,"Medicine,Science",,,
cleared.flights,available,74,7%,7,"Healthcare,Law,Transportation",,,
mavin.flights,available,74,7%,5,"Entertainment,Fashion,Technology",,,
broad.flights,available,74,13%,5,"Entertainment,General,Media",,,
skilful.flights,available,74,3%,7,"Education,Health and Fitness,Sports",,,
adamant.flights,available,74,14%,7,Religion,,,
playing.flights,available,74,12%,7,Entertainment,,,
ablaze.flights,available,72,6%,6,Entertainment,,,
adaptative.flights,available,72,1%,10,"Business,Education,Technology",,,
trey.flights,available,72,14%,4,Sports,,,
absolutist.flights,available,72,1%,10,"Humanities,Law,Politics",,,
engrossed.flights,available,72,1%,9,"Entertainment,Media,Technology",,,
abloom.flights,available,72,5%,6,Agriculture,,,
deep.flights,available,72,41%,4,"Engineering,Mathematics,Science",,,
sixtieth.flights,available,72,1%,8,Mathematics,,,
champion.flights,available,72,28%,8,"Entertainment,Health and Fitness,Sports",,,
adjectival.flights,available,72,1%,10,Education,,,
accusative.flights,available,72,0%,10,"Humanities,Law",,,
ninetieth.flights,available,72,1%,9,Mathematics,,,
absorbed.flights,available,72,2%,8,"Entertainment,Media,Technology",,,
improvize.flights,available,72,1%,9,Entertainment,,,
abreast.flights,available,72,2%,7,"Business,Technology",,,
accustomed.flights,available,72,1%,10,"Business,Education,Humanities",,,
ternary.flights,available,72,7%,7,Mathematics,,,
adonic.flights,available,72,2%,6,"Arts,Education,Entertainment",,,
existent.flights,available,72,3%,8,"Mathematics,Science",,,
adjunctive.flights,available,72,1%,10,"Healthcare,Manufacturing,Technology",,,
aching.flights,available,72,4%,6,Healthcare,,,
trinity.flights,available,72,18%,7,Religion,,,
eightieth.flights,available,72,1%,9,Mathematics,,,
seventieth.flights,available,72,1%,10,Mathematics,,,
adiabatic.flights,available,72,3%,9,"Engineering,Science",,,
addicted.flights,available,72,9%,8,Healthcare,,,
liv.flights,available,72,27%,3,Mathematics,,,
lovely.flights,available,72,26%,6,"Entertainment,Fashion,Retail",,,
lowdown.flights,available,70,6%,8,"Entertainment,Media",,,
accumbent.flights,available,70,1%,9,"Healthcare,Medicine,Science",,,
abradant.flights,available,70,1%,8,"Construction,Manufacturing",,,
admired.flights,available,70,5%,7,"Business,Education,Healthcare",,,
gymnastic.flights,available,70,3%,9,"Entertainment,Sports",,,
recumbent.flights,available,70,2%,9,"Healthcare,Medicine,Science",,,
miserable.flights,available,70,4%,9,Humanities,,,
offhand.flights,available,70,2%,7,Entertainment,,,
absorbing.flights,available,70,3%,9,"Entertainment,Media,Technology",,,
acuminate.flights,available,70,1%,9,"Engineering,Medicine,Science",,,
adjusted.flights,available,70,5%,8,"Manufacturing,Retail,Technology",,,
practiced.flights,available,70,3%,9,"Education,Health and Fitness,Sports",,,
stillborn.flights,available,70,2%,9,"Medicine,Science",,,
skillful.flights,available,70,9%,8,"Education,Health and Fitness,Sports",,,
tiptop.flights,available,70,24%,6,Fashion,,,
unity.flights,available,70,40%,5,Mathematics,,,
consequent.flights,available,70,3%,10,"Business,Education,General,Technology",,,
abulic.flights,available,70,1%,6,Medicine,,,
adored.flights,available,70,6%,6,"Entertainment,Fashion,Retail",,,
adamantine.flights,available,70,4%,10,Religion,,,
overseas.flights,available,68,12%,8,"Hospitality,Travel",,,
stygian.flights,available,68,5%,7,Humanities,,,
acerate.flights,available,68,1%,7,Science,,,
decorated.flights,available,68,3%,9,"Entertainment,Fashion,Retail",,,
activating.flights,available,68,3%,10,"Healthcare,Manufacturing,Technology",,,
octonary.flights,available,68,1%,8,Mathematics,,,
abducent.flights,available,68,0%,8,Medicine,,,
aroused.flights,available,68,3%,7,"Entertainment,Health and Fitness",,,
sevener.flights,available,68,1%,7,Mathematics,,,
foursome.flights,available,68,4%,8,Sports,,,
vindicated.flights,available,68,2%,10,"Humanities,Law,Politics",,,
licenced.flights,available,68,2%,8,"Business,Healthcare,Insurance",,,
fiftieth.flights,available,68,0%,8,Mathematics,,,
disciple.flights,available,68,14%,8,"Education,Religion",,,
ane.flights,available,68,12%,3,Mathematics,,,
thirtieth.flights,available,68,1%,9,Mathematics,,,
scurvy.flights,available,68,3%,6,Humanities,,,
ennead.flights,available,68,5%,6,Mathematics,,,
licensed.flights,available,68,5%,8,"Business,Healthcare,Insurance",,,
ablative.flights,available,68,3%,8,Science,,,
aberdonian.flights,available,68,1%,10,Geography,,,
achaean.flights,available,68,2%,7,Humanities,,,
abnaki.flights,available,68,1%,6,Geography,,,
abkhas.flights,available,68,0%,6,Geography,,,
accredited.flights,available,68,9%,10,"Business,Education,Healthcare",,,
threesome.flights,available,68,5%,9,Entertainment,,,
aculeate.flights,available,68,1%,8,"Engineering,Medicine,Science",,,
achaian.flights,available,68,2%,7,Humanities,,,
fortieth.flights,available,68,0%,8,Mathematics,,,
septenary.flights,available,68,1%,9,Mathematics,,,
performing.flights,available,66,6%,10,Entertainment,,,
onec.flights,available,66,6%,5,Mathematics,,,
xxv.flights,available,66,6%,3,Mathematics,,,
maven.flights,available,66,30%,5,"Entertainment,Fashion,Technology",,,
xvii.flights,available,66,5%,4,Mathematics,,,
exonerated.flights,available,66,2%,10,"Humanities,Law,Politics",,,
abstinent.flights,available,66,1%,9,"Health and Fitness,Religion",,,
accessary.flights,available,66,1%,9,"Business,Law,Technology",,,
modish.flights,available,66,5%,6,Fashion,,,
clv.flights,available,66,10%,3,Mathematics,,,
xvi.flights,available,66,5%,3,Mathematics,,,
four.flights,available,66,27%,4,Mathematics,,,
acappella.flights,available,66,6%,10,Entertainment,,,
six.flights,available,66,26%,3,Mathematics,,,
adorned.flights,available,66,5%,7,"Entertainment,Fashion,Retail",,,
deuce.flights,available,66,9%,5,Sports,,,
ninety.flights,available,66,11%,6,Mathematics,,,
xxvi.flights,available,66,3%,4,Mathematics,,,
latest.flights,available,66,18%,6,Technology,,,
xviii.flights,available,66,5%,5,Mathematics,,,
adopted.flights,available,66,4%,7,"Education,Healthcare",,,
five.flights,available,66,26%,4,Mathematics,,,
acervate.flights,available,66,1%,8,Science,,,
sextet.flights,available,66,1%,6,Entertainment,,,
tenner.flights,available,66,5%,6,Finance,,,
xxii.flights,available,66,6%,4,Mathematics,,,
according.flights,available,66,3%,9,"Business,Education,Technology",,,
thirty.flights,available,66,8%,6,Mathematics,,,
eighty.flights,available,66,6%,6,Mathematics,,,
xxi.flights,available,66,10%,3,Mathematics,,,
century.flights,available,66,17%,7,Education,,,
teenager.flights,available,66,4%,8,"Education,Entertainment,Healthcare",,,
xii.flights,available,66,10%,3,Mathematics,,,
fifty.flights,available,66,12%,5,Mathematics,,,
xiii.flights,available,66,9%,4,Mathematics,,,
buzzing.flights,available,66,7%,7,"Entertainment,Media,Technology",,,
